pair_id,solo_accuracy,solo_precision,solo_recall,solo_f1,similarity,fedavg_accuracy,fedavg_precision,fedavg_recall,fedavg_f1,fedprox_accuracy,fedprox_precision,fedprox_recall,fedprox_f1,scaffold_accuracy,scaffold_precision,scaffold_recall,scaffold_f1,fedov_accuracy,fedov_precision,fedov_recall,fedov_f1,combined_accuracy,combined_precision,combined_recall,combined_f1
29580_50937,1.0,1.0,1.0,1.0,0.9976035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6477272727272727,0.41955061983471076,0.6477272727272727,0.5092476489028214,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10657_85221,1.0,1.0,1.0,1.0,0.9975157,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9565217391304348,0.9149338374291116,0.9565217391304348,0.9352657004830917,1.0,1.0,1.0,1.0
05498_31132,0.0,0.0,0.0,0.0,0.9975624,0.2,0.4,0.2,0.26666666666666666,0.2,0.4,0.2,0.26666666666666666,0.0,0.0,0.0,0.0,0.2,0.4,0.2,0.26666666666666666,0.2,0.4,0.2,0.26666666666666666
10473_81274,0.0,0.0,0.0,0.0,0.99783796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.6666666666666666,0.0,0.0,0.0,0.0,0.125,1.0,0.125,0.2222222222222222
05953_92238,0.9,0.8099999999999999,0.9,0.8526315789473683,0.9977342,0.9,0.8099999999999999,0.9,0.8526315789473683,0.9,0.8099999999999999,0.9,0.8526315789473683,0.2,0.9111111111111111,0.2,0.2,0.9,0.8099999999999999,0.9,0.8526315789473683,0.9,0.8099999999999999,0.9,0.8526315789473683
38146_88217,0.4788732394366197,0.5862420902224945,0.4788732394366197,0.38083371449300507,0.99762005,0.5070422535211268,0.5463319044703,0.5070422535211268,0.4991800885055147,0.5211267605633803,0.5662333932674058,0.5211267605633803,0.5113675057337029,0.5774647887323944,0.33346558222574885,0.5774647887323944,0.4227867203219316,0.49295774647887325,0.6603370221327968,0.49295774647887325,0.4121781379521368,0.5,0.5338138647445411,0.5,0.49495401441710163
10683_30669,0.9661016949152542,0.967575534266765,0.9661016949152542,0.9652676889965025,0.9976769,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2033898305084746,0.3396839556518415,0.2033898305084746,0.23530048461292466,0.9152542372881356,0.9239017640954686,0.9152542372881356,0.9090577729178059,1.0,1.0,1.0,1.0
47798_70136,0.4745762711864407,0.47187981510015414,0.4745762711864407,0.44098753966411264,0.9977197,0.4915254237288136,0.49428458809617654,0.4915254237288136,0.4635838860230902,0.4915254237288136,0.49428458809617654,0.4915254237288136,0.4635838860230902,0.5254237288135594,0.7545295149035652,0.5254237288135594,0.3794555726759116,0.5254237288135594,0.5317253368100825,0.5254237288135594,0.5128614157527418,0.559322033898305,0.5601031008357416,0.559322033898305,0.5590687706993961
64213_64388,1.0,1.0,1.0,1.0,0.9978579,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5988372093023255,0.7967579818683485,0.5988372093023255,0.6837632135306554,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13338_15371,0.8571428571428571,0.7346938775510203,0.8571428571428571,0.7912087912087912,0.9983916,0.9285714285714286,0.9340659340659341,0.9285714285714286,0.9180952380952381,0.9285714285714286,0.9340659340659341,0.9285714285714286,0.9180952380952381,0.8571428571428571,0.7346938775510203,0.8571428571428571,0.7912087912087912,0.8571428571428571,0.7346938775510203,0.8571428571428571,0.7912087912087912,0.8571428571428571,0.7346938775510203,0.8571428571428571,0.7912087912087912
83608_86350,0.7155963302752294,0.9261900640470833,0.7155963302752294,0.8012084875798057,0.9985029,0.8440366972477065,0.9200890212466176,0.8440366972477065,0.8795183486238533,0.5321100917431193,0.5710639242379403,0.5321100917431193,0.465672145586494,0.4954128440366973,0.24543388603652894,0.4954128440366973,0.32824900095683,0.5137614678899083,0.7546085912715425,0.5137614678899083,0.3677362532777896,0.7889908256880734,0.9654712260216847,0.7889908256880734,0.8517759815527276
77322_77347,1.0,1.0,1.0,1.0,0.99767685,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.620253164556962,0.38471398814292584,0.620253164556962,0.47488132911392406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54195_61044,0.5266272189349113,0.5225769705407715,0.5266272189349113,0.4776883035992348,0.9980346,0.6035502958579881,0.6028904020806855,0.6035502958579881,0.6021805771551532,0.6035502958579881,0.6028904020806855,0.6035502958579881,0.6021805771551532,0.44970414201183434,0.45203220486953155,0.44970414201183434,0.43915196832078607,0.6035502958579881,0.6029349715192736,0.6035502958579881,0.6027132271227761,0.5325443786982249,0.5304998799451314,0.5325443786982249,0.49397987289266027
39143_64740,0.05084745762711865,0.017077555213148434,0.05084745762711865,0.026520438683948155,0.99789757,0.05084745762711865,0.015095338983050847,0.05084745762711865,0.023279558913620584,0.05084745762711865,0.016101694915254237,0.05084745762711865,0.024458270757348213,0.07627118644067797,0.016101694915254237,0.07627118644067797,0.02658995490592443,0.16101694915254236,0.025926457914392416,0.16101694915254236,0.04466163553136211,0.05084745762711865,0.018578878748370276,0.05084745762711865,0.027214132251133925
37439_37996,1.0,1.0,1.0,1.0,0.99786043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7352941176470589,0.7107843137254902,0.7352941176470589,0.7228315054835494,0.8529411764705882,0.7275086505190311,0.8529411764705882,0.7852474323062557,1.0,1.0,1.0,1.0
92980_93133,1.0,1.0,1.0,1.0,0.99755234,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29224_41995,1.0,1.0,1.0,1.0,0.99833435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9024390243902439,0.9119538997587778,0.9024390243902439,0.9048219792542754,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50429_59612,1.0,1.0,1.0,1.0,0.997986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08108108108108109,0.006574141709276845,0.08108108108108109,0.012162162162162161,0.9459459459459459,0.9489489489489489,0.9459459459459459,0.9332046332046331,1.0,1.0,1.0,1.0
37996_38092,0.5384615384615384,0.5380385521783794,0.5384615384615384,0.5379784873760777,0.9977287,0.5524475524475524,0.5556978622643179,0.5524475524475524,0.5513518991779861,0.5454545454545454,0.550957517059212,0.5454545454545454,0.5421039229088764,0.5174825174825175,0.5103496503496504,0.5174825174825175,0.437885109172581,0.48951048951048953,0.49070886027407773,0.48951048951048953,0.48951048951048953,0.5384615384615384,0.5376725838264299,0.5384615384615384,0.5376457792011602
76325_82961,1.0,1.0,1.0,1.0,0.9977262,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.926829268292683,0.9437148217636023,0.926829268292683,0.929740999694448,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
